コマンドー (ソルジャー+デモリッショニスト)
ウィッチブレイド (ソルジャー+オカルティスト)
ブレイドマスター (ソルジャー+ナイトブレイド)
バトルメイジ (ソルジャー+アルカニスト)
ウォーダー (ソルジャー+シャーマン)
タクティシャン (ソルジャー+インクィジター)
デスナイト (ソルジャー+ネクロマンサー)
パイロマンサー (デモリッショニスト+オカルティスト)
サバター (デモリッショニスト+ナイトブレイド)
ソーサラー/ソーサレス (デモリッショニスト+アルカニスト)
エレメンタリスト (デモリッショニスト+シャーマンシャーマン)
ピュリファイア (デモリッショニスト+インクィジター)
ディファイラー (デモリッショニスト+ネクロマンサー)
ウィッチハンター (オカルティスト+ナイトブレイド)
ウォーロック (オカルティスト+アルカニスト)
カンジュラー (オカルティスト+シャーマン)
デシーヴァー (オカルティスト+インクィジター)
カバリスト (オカルティスト+ネクロマンサー)
スペルブレイカー (ナイトブレイド+アルカニスト)
トリックスター (ナイトブレイド+シャーマン)
インフィルトレイター (ナイトブレイド+インクィジター)
リーパー (ナイトブレイド+ネクロマンサー)
ドルイド (アルカニスト+シャーマン)
メイジハンター (アルカニスト+インクィジター)
スペルバインダー (アルカニスト+ネクロマンサー) 
ヴィンディケイター (シャーマン+インクィジター)
リチュアリスト (シャーマン+ネクロマンサー)
アポステイト (インクィジター+ネクロマンサー)
